main_id,oid,otype_txt,ra,dec,z,radvel,Vmag,dist_pc
NGC   147,23027,GiG,8.300500000000001,48.50873888888889,-0.000644,-193.1,9.5,1211428.0
NGC   185,23214,Sy2,9.741541666666665,48.337377777777775,-0.00068,-203.8,9.2,1140000.0
NGC   891,27433,H2G,35.6371125,42.348319444444435,0.001763,528.0,9.93,9319280.0
IC   10,132135,G,5.0965,59.29297222222224,-0.00116,-348.0,9.5,742860.0
NGC  2403,382266,AGN,114.21415,65.60254722222223,0.00043,128.88,8.38,3310525.0
M  81,434630,Sy2,148.88822108929165,69.06529470194447,-0.00014,-41.97,6.94,3770833.0
M 102,457084,SyG,226.62317083333326,55.76330833333333,0.002528,756.92,9.89,14582057.0
NGC  4125,462587,GiP,182.0250708333333,65.17413333333333,0.004483,1340.96,9.72,22691150.0
NGC  2768,466254,SyG,137.90626666666665,60.03720833333334,0.00459,1372.89,9.87,22171500.0
M 101,529086,GiP,210.80242916666663,54.34875,0.000811,243.03,7.86,6605788.0
NGC  2841,539097,LIN,140.5110625,50.97647777777779,0.0019,569.06,9.22,15373472.0
NGC  5195,586527,GiP,202.4982916666666,47.26612777777778,0.001908,571.45,9.55,7621428.0
M  51,587337,GiP,202.46957500000002,47.195258333333335,0.001551,464.64,8.36,7457142.0
M 106,609478,Sy2,184.7400833333333,47.30371944444444,0.001541,461.62,8.41,7202369.0
NGC  1232,626813,EmG,47.43964166666666,-20.5793,0.005611,1677.4,9.87,19816666.0
NGC  1365,657395,Sy1,53.40190833333333,-36.14065833333333,0.005476,1637.1,9.63,19505355.0
NGC  1316,657415,GiP,50.674120833333326,-37.208200000000005,0.005911,1766.84,8.53,19664000.0
NGC  1380,670769,GiP,54.11495833333333,-34.9763,0.00616,1841.0,9.93,19737500.0
NGC  1399,671066,BiC,54.62117916666666,-35.450741666666666,0.004755,1422.0,9.59,20001450.0
NGC  1808,775288,Sy2,76.92642916666668,-37.513050000000014,0.003343,1000.4,9.94,11083270.0
NAME CMa Dwarf Galaxy,964378,G,108.15,-27.666666666666668,0.00029,87.0,-0.1,
NGC  2683,1123202,AGN,133.17227083333333,33.4218,0.001364,408.72,9.79,9350000.0
NAME Fornax Dwarf Spheroidal,1188481,G,39.99708333333333,-34.44916666666666,0.000184,55.3,7.4,136000.0
NGC    55,1196288,GiG,3.723341666666666,-39.19662777777777,0.00043,129.0,7.87,2262500.0
NGC   300,1198819,GiG,13.7226916941068,-37.6842174896297,0.000487,146.0,8.13,2307875.0
NGC  1097,1202576,LIN,41.5794125,-30.274911111111106,0.004218,1261.8,9.48,15967310.0
NAME Sculptor Dwarf Galaxy,1211945,G,15.039166666666668,-33.7088888888889,0.000372,111.4,8.6,81050.0
NGC  7793,1223945,GiG,359.45730575308795,-32.591030084626304,0.000757,226.8,9.28,3590227.0
MCG-05-56-033,1238780,GiG,358.3553222583369,-29.5381177173629,0.02892,8544.68,9.75,117210000.0
ESO 471-49,1238783,GiG,359.3690824867099,-29.0476315507944,0.029434,8694.28,8.75,120612000.0
ESO 409-7,1239406,G,0.6346333333333333,-30.62171666666666,0.030461,8993.0,9.77,
ESO 409-12,1239777,BiC,1.175945833333334,-30.48355000000001,0.026675,7890.34,9.29,104280000.0
ESO 411-34,1245928,EmG,14.445516666666668,-27.501625,0.018824,5590.3,9.69,
NGC   247,1288110,LSB,11.785641666666667,-20.760400000000004,0.000531,159.0,9.1,3590000.0
IC  127,1346862,GiG,22.44832916666667,-6.980058333333333,0.006244,1866.16,9.2,26850000.0
M  77,1378180,GiP,40.66987916666667,-0.013288888888888798,0.00381,1139.9,8.87,14694062.0
M  74,1465340,G,24.17405,15.783461111111112,0.002194,657.0,9.46,9887820.0
M  33,1522778,GiG,23.462099999999996,30.659941666666665,-0.000598,-179.2,5.72,1287500.0
NGC  7331,1528485,LIN,339.2670916666666,34.41591944444445,0.002716,813.0,9.48,14378110.0
M  31,1575544,G,10.684708333333331,41.268750000000004,-0.001,-300.0,3.44,770818.0
M 110,1575545,GiG,10.091893563515798,41.68541563746161,-0.00082,-246.0,8.07,1257142.0
NGC  2905,1630275,H2G,143.04212916666668,21.500830555555552,0.00186,557.0,9.07,8810000.0
NGC  2997,1664585,GiG,146.411474145643,-31.1909325077113,0.003611,1080.7,9.41,10350000.0
NGC  3344,1747314,EmG,160.8797916666667,24.92221944444444,0.001963,588.0,9.86,7748571.0
M  96,1749772,GiP,161.6906,11.819938888888887,0.002983,893.0,9.25,11122222.0
M 105,1750333,LIN,161.95666666666668,12.581630555555552,0.002922,874.71,9.76,11351428.0
M  95,1750499,GiP,160.99038220833333,11.703785388888887,0.002595,777.0,9.73,9218964.0
NGC  3521,1790228,LSB,166.45236508585023,-0.035896710160000005,0.002663,797.2,9.02,9966178.0
M  66,1805061,GiP,170.06260833333337,12.991288888888889,0.002391,716.0,8.92,9062150.0
NGC  3628,1805084,GiP,170.07090833333334,13.58948888888889,0.002819,844.0,9.48,10242700.0
NGC  3621,1815763,AGN,169.56791666666666,-32.812599999999996,0.002437,729.8,9.56,6680880.0
ESO 439-24,1855645,G,175.2799375,-28.70085833333333,0.0286,8451.5,8.9,
NGC  3923,1875023,GiG,177.75742916666667,-28.806211111111114,0.005767,1723.92,9.8,23825000.0
NGC  4228,1904957,SBG,183.913225,36.326888888888895,0.000978,293.0,9.93,3114750.0
M  99,1910773,H2G,184.70677083333337,14.416488888888885,0.008051,2404.0,9.87,18342045.0
M  61,1913628,Sy2,185.4788646454377,4.473774537722,0.005237,1566.0,9.65,16350000.0
NGC  4449,1923589,EmG,187.046325,44.09355833333332,0.00068,203.79,9.64,4000828.0
NGC  4490,1924381,GiP,187.65153333333333,41.64363055555556,0.001965,588.42,9.79,8692500.0
NGC  4494,1930031,GiP,187.85014166666662,25.77498055555555,0.004406,1317.98,9.74,18198928.0
M 100,1934257,AGN,185.72888285452265,15.822303972822995,0.005251,1570.0,9.35,16762009.0
M  86,1934764,GiG,186.549225,12.945969444444444,-0.001007,-302.0,8.9,17413750.0
M  87,1937204,BiC,187.70593075958328,12.391123293916666,0.0042,1256.48,8.63,17616250.0
NGC  4631,1954851,GiP,190.5333708333333,32.541511111111106,0.00205,614.0,9.19,7262500.0
M  58,1961786,SyG,189.43165416666668,11.81808888888889,0.005073,1517.0,9.66,18338661.0
M  90,1961913,Sy2,189.20756666666668,13.162869444444443,-0.000737,-221.0,9.54,15516814.0
M  89,1962096,LIN,188.91586393500003,12.55634189138889,0.000914,273.89,9.75,15708177.0
M 104,1971559,LIN,189.99763270833336,-11.623054277777777,0.003642,1090.0,8.0,13166372.0
2MASX J12421615-4006253,1974626,G,190.56732083333333,-40.10703333333334,0.027429,8110.27,9.9,
M  94,1976412,SyG,192.72145,41.120152777777776,0.000957,286.86,8.24,4716845.0
NGC  4753,1995811,GiG,193.0921333333333,-1.199688888888889,0.004213,1260.37,9.95,22361800.0
M  64,2049151,SyG,194.18206666666666,21.682658333333332,0.001362,408.0,8.52,6494145.0
M  63,2063723,LIN,198.95530771987458,42.0293683550047,0.001678,502.63,8.59,8649681.0
NGC  5102,2147165,EmG,200.4900388058069,-36.630107126169,0.001548,463.6,9.65,3703333.0
M  83,2177129,SBG,204.25382916666666,-29.865761111111112,0.001733,519.1,7.52,4714780.0
MCG+02-37-031,2288141,GiP,220.57116666666664,8.996508333333331,0.031442,9277.96,7.0,
NAME SDG,2395134,G,283.7629166666667,-30.47833333333333,0.000467,140.0,3.6,20000.0
NGC  6822,2576378,G,296.23416249999997,-14.79758055555556,-0.00019,-57.0,8.1,505216.0
NGC  1269,2986288,GiG,49.32749999999999,-41.108069444444446,0.002796,837.1,8.81,10188333.0
NGC  1433,2999607,GiG,55.50647083333334,-47.22208055555556,0.00359,1074.2,9.99,12950000.0
NGC  1549,3024573,GiP,63.93842916666666,-55.59236111111112,0.004093,1224.54,9.79,17081250.0
NGC  1553,3025569,GiP,64.0436298493903,-55.78002979520739,0.004026,1204.53,9.4,15748750.0
NGC  1566,3025576,Sy1,65.001675003773,-54.937938362261306,0.005036,1506.1,9.73,12179733.0
NGC  1672,3038315,SyG,71.4273,-59.24741111111111,0.004464,1335.2,9.68,16550000.0
AM 0311-513,3040347,G,48.25,-51.3,,,7.8,
NAME LMC,3133169,G,80.89416666666666,-69.75611111111111,0.000875,262.2,0.4,50000.0
NAME SMC,3253618,G,13.158333333333331,-72.80027777777777,0.000486,145.6,2.2,59959.0
NAME Circinus Galaxy,3363220,Sy2,213.291275,-65.33901944444445,0.001449,434.1,9.84,4651825.0
NAME Centaurus A,3392496,Sy2,201.36506287933332,-43.01911266736112,0.001826,547.0,6.84,4462366.0
NGC  6744,3417543,GiG,287.44207916666664,-63.85753888888888,0.0028,838.3,8.25,8905000.0
NGC  6868,3499124,GiP,302.4753416666667,-48.37951388888889,0.009427,2812.82,9.22,33098571.0
NGC  1407,5173477,GiG,55.0496,-18.580377777777773,0.005952,1779.0,9.67,24963333.0
